title,mpaa_rating,budget,log_budget,opening_weekend,runtime,theaters,year
Non-Stop,PG-13,50000000,7.7,28875635,106,3090,2014
Son of God,PG-13,22000000,7.34,25601865,138,3260,2014
Noah,PG-13,130000000,8.11,43720472,138,3567,2014
Sabotage,R,35000000,7.54,5272444,109,2486,2014
The Grand Budapest Hotel,R,31000000,7.49,811166,99,4,2014
Bad Words,R,10000000,7,113301,89,6,2014
"As Above, So Below",R,5000000,6.7,8632820,93,2640,2014
Maleficent,PG,180000000,8.26,69431298,97,3948,2014
A Million Ways to Die in the West,R,40000000,7.6,16797385,116,3158,2014
Labor Day,PG-13,18000000,7.26,5175282,111,2584,2014
That Awkward Moment,R,8000000,6.9,8742109,94,2809,2014
Before I Go to Sleep,R,22000000,7.34,1843347,92,1935,2014
Nightcrawler,R,8500000,6.93,10441000,117,2766,2014
Mr. Turner,R,14000000,7.15,108638,150,5,2014
Magic Mike XXL,R,14500000,7.16,12857184,115,3355,2015
Sicario,R,30000000,7.48,401288,121,6,2015
The Martian,PG-13,108000000,8.03,54308575,144,3831,2015
Furious 7,PG-13,190000000,8.28,147163560,137,4003,2015
Krampus,PG-13,15000000,7.18,16293325,98,2902,2015
The Transporter Refueled,PG-13,22000000,7.34,7355622,96,3434,2015
Insidious: Chapter 3,PG-13,10000000,7,22692741,97,3002,2015
Jupiter Ascending,PG-13,179000000,8.25,18372372,127,3885,2015
Seventh Son,PG-13,95000000,7.98,7217640,102,2875,2015
The SpongeBob Movie: Sponge Out of Water,PG,74000000,7.87,55365012,92,3641,2015
Chappie,R,49000000,7.69,13346782,120,3201,2015
Unfinished Business,R,35000000,7.54,4772613,91,2777,2015
Spectre,PG-13,300000000,8.48,70403148,148,3929,2015
The Peanuts Movie,G,99000000,8,44213073,88,3897,2015
The Gift,R,5000000,6.7,11854273,108,2503,2015
Hot Pursuit,PG-13,35000000,7.54,13942258,87,3003,2015
By the Sea,R,20000000,7.3,96250,122,10,2015
Inherent Vice,R,20000000,7.3,328184,148,5,2015
Selma,PG-13,20000000,7.3,571450,128,19,2015
Taken 3,PG-13,48000000,7.68,39201657,109,3594,2015
The Walk,PG,35000000,7.54,1560299,123,448,2015
Pan,PG,150000000,8.18,15315435,111,3515,2015
Trash,R,12000000,7.08,10230,114,17,2015
Danny Collins,R,10000000,7,72459,106,5,2015
The Longest Ride,PG-13,34000000,7.53,13019686,128,3366,2015
Woman in Gold,PG-13,11000000,7.04,2091551,109,258,2015
Minions,PG,74000000,7.87,115718405,91,4301,2015
Self/less,PG-13,26000000,7.41,5403460,117,2353,2015
Strangerland,R,10000000,7,17472,112,22,2015
In the Heart of the Sea,PG-13,100000000,8,11053366,122,3103,2015
The Visit,PG-13,5000000,6.7,25427560,94,3069,2015
Jurassic World,PG-13,215000000,8.33,208806270,124,4274,2015
Fifty Shades of Grey,R,40000000,7.6,85171450,125,3646,2015
Run All Night,R,50000000,7.7,11012305,114,3171,2015
The 33,PG-13,25000000,7.4,5787266,127,2452,2015
My All American,PG,20000000,7.3,1392000,118,1565,2015
Love the Coopers,PG-13,18000000,7.26,8317545,107,2603,2015
The Man from U.N.C.L.E.,PG-13,75000000,7.88,13421036,116,3638,2015
Straight Outta Compton,R,28000000,7.45,60200180,147,2757,2015
Mad Max: Fury Road,R,150000000,8.18,45428128,120,3702,2015
Pitch Perfect 2,PG-13,29000000,7.46,69216890,115,3473,2015
American Sniper,R,58000000,7.76,633456,133,4,2015
Blackhat,R,70000000,7.85,3901815,133,2567,2015
Paddington,PG,55000000,7.74,18966676,95,3303,2015
Goosebumps,PG,58000000,7.76,23618556,103,3501,2015
Bridge of Spies,PG-13,40000000,7.6,15371203,142,2811,2015
While We're Young,R,10000000,7,227688,97,4,2015
Child 44,R,50000000,7.7,621812,137,510,2015
Paul Blart: Mall Cop 2,PG,38000000,7.58,23762435,94,3633,2015
Ant-Man,PG-13,130000000,8.11,57225526,117,3856,2015
Trainwreck,R,35000000,7.54,30097040,125,3158,2015
Alvin and the Chipmunks: The Road Chip,PG,90000000,7.95,14287159,92,3653,2015
Maze Runner: The Scorch Trials,PG-13,61000000,7.79,30316510,132,3791,2015
Black Mass,R,53000000,7.72,22635037,123,3188,2015
Inside Out,PG,175000000,8.24,90440272,95,3946,2015
Dope,R,7000000,6.85,6100010,103,2002,2015
Still Alice,PG-13,5000000,6.7,212000,101,12,2015
"McFarland, USA",PG,17000000,7.23,11020798,129,2755,2015
Hot Tub Time Machine 2,R,14000000,7.15,5963324,93,2880,2015
The DUFF,PG-13,8500000,6.93,10809149,101,2575,2015
The Gunman,R,40000000,7.6,5028702,115,2816,2015
The Hunger Games: Mockingjay - Part 2,PG-13,160000000,8.2,102665981,137,4175,2015
Secret in Their Eyes,PG-13,20000000,7.3,6652996,111,2392,2015
Sinister 2,R,10000000,7,10542116,97,2766,2015
Rudderless,R,5000000,6.7,37440,105,18,2015
Song One,PG-13,6000000,6.78,20200,86,27,2015
The Vatican Tapes,PG-13,13000000,7.11,832271,91,427,2015
Tomorrowland,PG,170000000,8.23,33028165,130,3972,2015
Skin Trade,R,9000000,6.95,162,96,1,2015
The Big Short,R,28000000,7.45,705527,130,8,2015
R100,UNRATED,5500000,6.74,7263,99,10,2015
Aloft,R,8000000,6.9,2116,112,2,2015
The Last Witch Hunter,PG-13,80000000,7.9,10812861,106,3082,2015
The Age of Adaline,PG-13,30000000,7.48,13203458,112,2991,2015
Little Boy,PG-13,20000000,7.3,2750356,106,1045,2015
Ex Machina,R,13000000,7.11,237264,108,4,2015
Pixels,PG-13,90000000,7.95,24011616,106,3723,2015
Southpaw,R,30000000,7.48,16701294,124,2772,2015
Paper Towns,PG-13,12000000,7.08,12650140,109,3031,2015
Joy,PG-13,60000000,7.78,17015168,124,2896,2015
Concussion,PG-13,35000000,7.54,10513749,123,2841,2015
The Good Dinosaur,PG,187500000,8.27,39155217,93,3749,2015
Victor Frankenstein,PG-13,40000000,7.6,2469341,110,2797,2015
Creed,PG-13,37000000,7.57,29632823,133,3284,2015
Spotlight,R,20000000,7.3,295009,128,5,2015
Brooklyn,PG-13,11000000,7.04,187281,111,5,2015
Hotel Transylvania 2,PG,80000000,7.9,48464322,89,3754,2015
Everest,PG-13,65000000,7.81,7222035,121,545,2015
The Intern,PG-13,40000000,7.6,17728313,121,3305,2015
No Escape,R,5000000,6.7,8111264,103,3355,2015
Ted 2,R,68000000,7.83,33507870,115,3442,2015
Max,PG,20000000,7.3,12155254,111,2855,2015
Escobar: Paradise Lost,R,17000000,7.23,106869,120,105,2015
Focus,R,65000000,7.81,18685137,105,3323,2015
The Lazarus Effect,PG-13,5000000,6.7,10203437,83,2666,2015
Home,PG,130000000,8.11,52107731,94,3708,2015
Get Hard,R,40000000,7.6,33803253,100,3175,2015
Vacation,R,31000000,7.49,14681108,99,3411,2015
San Andreas,PG-13,110000000,8.04,54588173,114,3777,2015
Aloha,PG-13,37000000,7.57,9670235,105,2815,2015
The Hateful Eight,R,62000000,7.79,4610676,187,100,2015
A Most Violent Year,R,20000000,7.3,172788,125,4,2015
Project Almanac,PG-13,12000000,7.08,8310252,106,2893,2015
Our Brand Is Crisis,R,28000000,7.45,3249242,107,2202,2015
Burnt,R,20000000,7.3,5002341,101,3003,2015
Mission: Impossible - Rogue Nation,PG-13,150000000,8.18,55520089,131,3956,2015
The Young and Prodigious T.S. Spivet,PG,33000000,7.52,110295,105,100,2015
The Revenant,R,135000000,8.13,474560,156,4,2016
Anomalisa,R,8000000,6.9,135222,90,4,2016
Room,R,13000000,7.11,118298,118,4,2016
