title,mpaa_rating,budget,log_budget,opening_weekend,runtime,theaters,year
The Astronaut Farmer,PG,13000000,7.11,4454319,104,2155,2007
Reno 911!: Miami,R,10000000,7,10273477,84,2702,2007
Shooter,R,60000000,7.78,14523571,124,2806,2007
TMNT,PG,35000000,7.54,24255205,87,3110,2007
Reign Over Me,R,20000000,7.3,7460690,124,1671,2007
The Hills Have Eyes II,R,15000000,7.18,9686362,89,2447,2007
The Wind That Shakes the Barley,NOT RATED,8300000,6.92,76190,127,9,2007
Mr. Bean's Holiday,PG,25000000,7.4,9889780,90,1714,2007
War,R,25000000,7.4,9820089,103,2277,2007
Resurrecting the Champ,PG-13,13000000,7.11,1659756,112,1605,2007
September Dawn,R,10100000,7,901857,111,857,2007
Aliens vs. Predator: Requiem,R,40000000,7.6,10059425,94,2611,2007
The Great Debaters,PG-13,15000000,7.18,6005180,126,1171,2007
Juno,PG-13,7000000,6.85,413869,96,7,2007
Pirates of the Caribbean: At World's End,PG-13,300000000,8.48,114732820,169,4362,2007
Volver,R,9400000,6.97,197703,121,5,2007
Notes on a Scandal,R,27500000,7.44,414487,92,22,2007
Epic Movie,PG-13,20000000,7.3,18612544,86,2801,2007
Smokin' Aces,R,17000000,7.23,14638755,108,2218,2007
Blood and Chocolate,PG-13,15000000,7.18,2074300,98,1200,2007
Saw IV,R,10000000,7,31756764,93,3183,2007
The Simpsons Movie,PG-13,72500000,7.86,74036787,87,3922,2007
Sunshine,R,40000000,7.6,242964,107,10,2007
No Reservations,PG,28000000,7.45,11704357,104,2425,2007
Rescue Dawn,PG-13,10000000,7,110326,120,6,2007
Who's Your Caddy?,PG-13,7000000,6.85,2756661,93,1019,2007
Live Free or Die Hard,PG-13,110000000,8.04,33369559,128,3408,2007
My Blueberry Nights,PG-13,10000000,7,74146,95,6,2007
The Kingdom,R,72500000,7.86,17135055,110,2793,2007
In the Valley of Elah,R,23000000,7.36,133557,121,9,2007
The Game Plan,PG,22000000,7.34,22950971,110,3103,2007
Ratatouille,G,150000000,8.18,47027395,111,3940,2007
Blades of Glory,PG-13,61000000,7.79,33014202,93,3372,2007
Awake,R,8600000,6.93,5856872,84,2002,2007
Come Early Morning,R,6000000,6.78,50160,97,22,2007
Death Sentence,R,20000000,7.3,4231321,105,1822,2007
Moli��re,PG-13,21600000,7.33,32601,120,6,2007
The Wackness,R,6000000,6.78,138401,99,6,2008
The Mummy: Tomb of the Dragon Emperor,PG-13,175000000,8.24,40457770,112,3760,2008
Swing Vote,PG-13,21000000,7.32,6230669,120,2213,2008
The Savages,R,9000000,6.95,151859,113,4,2008
Strange Wilderness,R,20000000,7.3,3001719,87,1208,2008
The Eye,PG-13,12000000,7.08,12425776,98,2436,2008
Over Her Dead Body,PG-13,10000000,7,4025115,95,1977,2008
Kit Kittredge: An American Girl,G,10000000,7,220297,101,5,2008
Hancock,PG-13,150000000,8.18,62603879,92,3965,2008
Iron Man,PG-13,186000000,8.27,102118668,126,4105,2008
Made of Honor,PG-13,40000000,7.6,14756850,101,2729,2008
Appaloosa,R,20000000,7.3,248847,115,14,2008
How to Lose Friends & Alienate People,R,28000000,7.45,1430294,110,1750,2008
Blindness,R,25000000,7.4,1950260,121,1690,2008
Beverly Hills Chihuahua,PG,20000000,7.3,29300465,91,3215,2008
Flash of Genius,PG-13,20000000,7.3,2251075,119,1098,2008
An American Carol,PG-13,20000000,7.3,3656000,83,1639,2008
Nick and Norah's Infinite Playlist,PG-13,10000000,7,11311751,90,2421,2008
Funny Games,R,15000000,7.18,510958,111,274,2008
Leatherheads,PG-13,58000000,7.76,12682595,114,2769,2008
Nim's Island,PG,37000000,7.57,13210579,96,3513,2008
The Ruins,R,25000000,7.4,8003421,90,2812,2008
Ong-bak 2,R,15000000,7.18,26564,98,10,2008
One Missed Call,PG-13,20000000,7.3,12511473,87,2240,2008
Mongol: The Rise of Genghis Khan,R,18000000,7.26,135326,126,5,2008
Punisher: War Zone,R,35000000,7.54,4271451,103,2508,2008
Cadillac Records,R,12000000,7.08,3445559,109,687,2008
The Life Before Her Eyes,R,12000000,7.08,20220,90,8,2008
Transsiberian,R,15000000,7.18,34615,111,2,2008
Bottle Shock,PG-13,5000000,6.7,277839,110,48,2008
Bangkok Dangerous,R,45000000,7.65,7783266,99,2650,2008
"Surfer, Dude",R,6000000,6.78,5971,85,1,2008
The Sisterhood of the Traveling Pants 2,PG-13,27000000,7.43,10678430,119,2707,2008
Kung Fu Panda,PG,130000000,8.11,60239130,92,4114,2008
You Don't Mess with the Zohan,PG-13,90000000,7.95,38531374,113,3462,2008
The Midnight Meat Train,R,15000000,7.18,34394,100,102,2008
"10,000 BC",PG-13,105000000,8.02,35867488,109,3410,2008
The Bank Job,R,20000000,7.3,5935256,111,1603,2008
Rachel Getting Married,R,12000000,7.08,293369,113,9,2008
Madagascar: Escape 2 Africa,PG,150000000,8.18,63106589,89,4056,2008
